@relation 'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R7,9-12,21,23-24,29,31,33-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.instance.Randomize-S1-weka.filters.MultiFilter-Fweka.filters.unsupervised.instance.Randomize -S 1'

@attribute pacman_position_x numeric
@attribute pacman_position_y numeric
@attribute is_North_Valid {True,False}
@attribute is_South_Valid {True,False}
@attribute is_East_Valid {True,False}
@attribute is_West_Valid {True,False}
@attribute pacman_direction {North,South,East,West,Stop}
@attribute ghost_1_position_x numeric
@attribute ghost_1_position_y numeric
@attribute ghost_2_position_x numeric
@attribute ghost_2_position_y numeric
@attribute ghost_3_position_x numeric
@attribute ghost_3_position_y numeric
@attribute ghost_4_position_x numeric
@attribute ghost_4_position_y numeric
@attribute ghost_1_distance numeric
@attribute ghost_2_distance numeric
@attribute ghost_3_distance numeric
@attribute ghost_4_distance numeric
@attribute score numeric
@attribute next_action {North,South,East,West,Stop}

@data
10,7,True,True,True,True,West,9,3,3,1,19,12,22,9,5,-1,14,14,983,South
25,6,True,True,True,True,East,1,1,3,1,5,1,25,7,-1,-1,-1,1,535,North
7,7,True,True,True,True,South,9,3,11,7,19,12,22,9,6,4,17,17,688,East
4,6,True,True,True,True,East,5,9,11,3,17,6,25,7,4,10,13,22,-16,East
8,10,True,True,True,True,North,1,1,12,14,5,1,7,1,-1,8,-1,-1,567,North
10,12,True,True,True,True,North,1,1,3,1,14,6,25,4,-1,-1,10,24,364,East
14,9,True,True,True,True,East,1,1,3,1,23,12,20,9,-1,-1,12,7,2562,East
1,10,True,True,False,False,South,5,7,11,4,15,6,25,8,7,16,18,25,-9,South
13,12,False,True,True,True,East,1,1,3,1,17,6,25,7,-1,-1,10,17,353,South
4,12,False,True,True,True,Stop,9,3,11,7,19,12,22,9,14,12,15,21,-1,Stop
15,6,False,False,True,True,East,1,1,3,1,17,6,25,7,-1,-1,2,11,345,East
20,12,False,True,True,True,East,1,1,3,1,5,1,22,9,-1,-1,-1,5,3058,South
8,6,True,True,True,True,East,1,1,11,3,17,6,25,7,-1,6,9,18,174,East
18,7,True,True,True,True,North,1,1,3,1,18,12,7,1,-1,-1,5,-1,3746,West
2,5,True,True,True,True,West,1,1,10,5,14,9,26,4,-1,8,16,24,183,East
12,10,True,True,True,True,Stop,5,6,5,12,13,6,13,12,11,9,5,3,0,Stop
14,9,True,True,True,True,East,5,6,5,14,13,8,7,1,12,14,2,-1,186,East
1,11,True,True,False,False,South,5,8,10,4,15,6,24,8,7,16,19,27,-8,South
13,10,True,True,True,True,East,5,7,4,12,12,7,13,13,11,11,4,4,-2,North
