@RELATION Pacman-data-training

@ATTRIBUTE pacman_position_x NUMERIC
@ATTRIBUTE pacman_position_y NUMERIC
@ATTRIBUTE is_North_Valid {True,False}
@ATTRIBUTE is_South_Valid {True,False}
@ATTRIBUTE is_East_Valid {True,False}
@ATTRIBUTE is_West_Valid {True,False}
@ATTRIBUTE is_Stop_Valid {True,False}
@ATTRIBUTE pacman_direction {North,South,East,West,Stop}
@ATTRIBUTE alive_ghost_1 {True,False}
@ATTRIBUTE alive_ghost_2 {True,False}
@ATTRIBUTE alive_ghost_3 {True,False}
@ATTRIBUTE alive_ghost_4 {True,False}
@ATTRIBUTE ghost_1_position_x NUMERIC
@ATTRIBUTE ghost_1_position_y NUMERIC
@ATTRIBUTE ghost_2_position_x NUMERIC
@ATTRIBUTE ghost_2_position_y NUMERIC
@ATTRIBUTE ghost_3_position_x NUMERIC
@ATTRIBUTE ghost_3_position_y NUMERIC
@ATTRIBUTE ghost_4_position_x NUMERIC
@ATTRIBUTE ghost_4_position_y NUMERIC
@ATTRIBUTE ghost_1_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_2_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_3_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_4_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_1_distance NUMERIC
@ATTRIBUTE ghost_2_distance NUMERIC
@ATTRIBUTE ghost_3_distance NUMERIC
@ATTRIBUTE ghost_4_distance NUMERIC
@ATTRIBUTE pac_dots_distance NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE score_change NUMERIC

@ATTRIBUTE next_action {North,South,East,West,Stop}
@ATTRIBUTE next_score NUMERIC

@DATA
5,3,True,False,True,True,True,South,False,True,True,True,1,1,9,3,15,6,24,3,Stop,East,West,North,-1,4,13,20,-1,158,-1,East,157
6,3,False,False,True,True,True,East,False,True,True,True,1,1,9,3,14,6,24,4,Stop,East,West,West,-1,3,11,18,-1,157,-1,East,156
7,3,False,False,True,True,True,East,False,True,True,True,1,1,8,3,14,7,23,4,Stop,Stop,North,West,-1,1,11,17,-1,156,199,East,355
8,3,True,False,True,True,True,East,False,False,True,True,1,1,3,1,14,7,23,4,Stop,Stop,North,North,-1,-1,10,17,-1,355,-1,East,354
9,3,True,False,True,True,True,East,False,False,True,True,1,1,3,1,14,8,23,5,Stop,Stop,North,North,-1,-1,10,16,-1,354,-1,North,353
9,4,True,True,True,True,True,North,False,False,True,True,1,1,3,1,14,9,23,5,Stop,Stop,North,East,-1,-1,10,16,-1,353,-1,North,352
9,5,True,True,True,True,True,North,False,False,True,True,1,1,3,1,13,9,24,5,Stop,Stop,West,South,-1,-1,8,16,-1,352,-1,North,351
9,6,True,True,True,True,True,North,False,False,True,True,1,1,3,1,14,9,24,4,Stop,Stop,East,West,-1,-1,8,16,-1,351,-1,North,350
9,7,True,True,True,True,True,North,False,False,True,True,1,1,3,1,13,9,23,4,Stop,Stop,West,West,-1,-1,6,16,-1,350,-1,North,349
9,8,True,True,True,True,True,North,False,False,True,True,1,1,3,1,13,8,22,4,Stop,Stop,South,West,-1,-1,4,16,-1,349,-1,North,348
9,9,True,True,True,True,True,North,False,False,True,True,1,1,3,1,13,7,21,4,Stop,Stop,South,South,-1,-1,6,18,-1,348,-1,North,347
