@relation 'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R7,9-12,21-24,29,31,33-weka.filters.unsupervised.instance.Randomize-S1-weka.filters.MultiFilter-Fweka.filters.unsupervised.instance.Randomize -S 1'

@attribute pacman_position_x numeric
@attribute pacman_position_y numeric
@attribute is_North_Valid {True,False}
@attribute is_South_Valid {True,False}
@attribute is_East_Valid {True,False}
@attribute is_West_Valid {True,False}
@attribute pacman_direction {North,South,East,West,Stop}
@attribute ghost_1_position_x numeric
@attribute ghost_1_position_y numeric
@attribute ghost_2_position_x numeric
@attribute ghost_2_position_y numeric
@attribute ghost_3_position_x numeric
@attribute ghost_3_position_y numeric
@attribute ghost_4_position_x numeric
@attribute ghost_4_position_y numeric
@attribute ghost_1_distance numeric
@attribute ghost_2_distance numeric
@attribute ghost_3_distance numeric
@attribute ghost_4_distance numeric
@attribute score numeric
@attribute next_action {North,South,East,West,Stop}

@data
17,10,True,True,True,True,East,1,1,3,1,19,12,22,9,-1,-1,4,6,1865,North
19,15,True,True,True,False,West,12,17,13,15,17,15,13,15,9,6,2,5,-21,South
12,5,False,False,True,True,West,10,3,3,1,5,1,7,1,4,-1,-1,-1,558,West
13,10,True,True,True,False,North,1,1,3,1,17,6,25,7,-1,-1,8,15,329,Stop
7,10,True,True,True,True,North,5,11,4,11,5,1,7,1,3,4,-1,-1,385,West
10,6,True,True,True,True,East,1,1,3,1,18,11,23,11,-1,-1,13,17,1188,East
16,8,False,False,True,True,East,1,1,3,1,17,6,25,7,-1,-1,3,10,320,East
20,10,True,False,True,True,South,1,1,3,1,26,5,25,4,-1,-1,11,10,351,East
19,13,True,True,False,True,South,13,17,14,16,16,15,15,15,10,8,5,6,-23,West
14,13,False,False,True,True,West,13,16,14,16,11,17,15,15,4,3,7,3,-64,West
12,9,True,True,True,True,South,4,9,3,12,13,8,13,8,8,12,2,1,-5,South
1,6,True,True,False,False,North,1,1,3,1,8,11,14,6,-1,-1,12,13,379,North
12,8,True,True,True,False,South,1,1,3,1,5,1,14,6,-1,-1,-1,4,560,South
6,12,False,True,True,True,East,9,3,11,7,19,12,22,9,12,10,13,19,-2,South
16,13,False,False,True,True,West,10,15,13,15,14,15,17,15,8,5,4,3,-26,West
17,15,False,False,False,True,East,10,15,3,1,5,1,7,1,7,-1,-1,-1,550,West
1,16,True,True,True,False,South,5,8,10,3,18,6,24,7,12,22,27,32,-2,South
12,12,True,True,True,True,North,5,6,5,12,13,6,13,12,13,7,7,1,-2,East
20,8,False,False,True,True,East,1,1,3,1,17,6,25,7,-1,-1,5,6,316,West
16,7,True,True,True,True,East,1,1,3,1,19,8,23,9,-1,-1,4,8,1381,East
12,12,False,False,True,True,East,1,1,3,1,17,6,25,7,-1,-1,11,18,353,East
9,9,True,True,True,True,East,9,3,11,7,19,12,22,9,6,4,13,13,492,South
10,13,False,False,True,True,West,10,15,13,15,14,15,17,15,2,5,6,9,-32,West
19,8,False,False,True,True,East,13,15,13,15,16,15,17,15,13,13,10,9,-10,East
20,15,False,False,True,True,West,10,15,13,15,14,15,17,15,10,7,6,3,-20,West
7,11,False,False,True,True,East,1,1,3,1,8,11,14,6,-1,-1,1,12,368,East
6,8,True,True,False,True,North,5,9,11,3,17,6,25,7,2,10,13,20,-23,North
13,13,False,False,True,True,West,15,15,15,15,14,15,16,15,4,4,3,4,-29,West
