@RELATION Pacman-data-training

@ATTRIBUTE pacman_position_x NUMERIC
@ATTRIBUTE pacman_position_y NUMERIC
@ATTRIBUTE is_North_Valid {True,False}
@ATTRIBUTE is_South_Valid {True,False}
@ATTRIBUTE is_East_Valid {True,False}
@ATTRIBUTE is_West_Valid {True,False}
@ATTRIBUTE is_Stop_Valid {True,False}
@ATTRIBUTE pacman_direction {North,South,East,West,Stop}
@ATTRIBUTE alive_ghost_1 {True,False}
@ATTRIBUTE alive_ghost_2 {True,False}
@ATTRIBUTE alive_ghost_3 {True,False}
@ATTRIBUTE alive_ghost_4 {True,False}
@ATTRIBUTE ghost_1_position_x NUMERIC
@ATTRIBUTE ghost_1_position_y NUMERIC
@ATTRIBUTE ghost_2_position_x NUMERIC
@ATTRIBUTE ghost_2_position_y NUMERIC
@ATTRIBUTE ghost_3_position_x NUMERIC
@ATTRIBUTE ghost_3_position_y NUMERIC
@ATTRIBUTE ghost_4_position_x NUMERIC
@ATTRIBUTE ghost_4_position_y NUMERIC
@ATTRIBUTE ghost_1_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_2_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_3_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_4_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_1_distance NUMERIC
@ATTRIBUTE ghost_2_distance NUMERIC
@ATTRIBUTE ghost_3_distance NUMERIC
@ATTRIBUTE ghost_4_distance NUMERIC
@ATTRIBUTE pac_dots_distance NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE score_change NUMERIC

@ATTRIBUTE next_action {North,South,East,West,Stop}
@ATTRIBUTE next_score NUMERIC

@DATA
8,3,True,False,True,True,True,East,False,True,True,True,1,1,9,3,25,5,28,3,Stop,Stop,South,South,-1,1,19,21,-1,174,199,East,373
9,3,True,False,True,True,True,East,False,False,True,True,1,1,3,1,25,4,28,2,Stop,Stop,South,West,-1,-1,17,19,-1,373,-1,East,372
10,3,True,False,True,True,True,East,False,False,True,True,1,1,3,1,25,4,27,2,Stop,Stop,South,East,-1,-1,16,19,-1,372,-1,East,371
11,3,True,False,False,True,True,East,False,False,True,True,1,1,3,1,25,3,28,2,Stop,Stop,South,West,-1,-1,14,17,-1,371,-1,North,370
11,4,True,True,False,True,True,North,False,False,True,True,1,1,3,1,26,3,27,2,Stop,Stop,East,North,-1,-1,16,17,-1,370,-1,North,369
11,5,True,True,False,True,True,North,False,False,True,True,1,1,3,1,27,3,27,3,Stop,Stop,East,East,-1,-1,18,19,-1,369,-1,North,368
11,6,True,True,False,True,True,North,False,False,True,True,1,1,3,1,28,3,28,3,Stop,Stop,East,West,-1,-1,20,19,-1,368,-1,North,367
11,7,True,True,False,True,True,North,False,False,True,True,1,1,3,1,28,4,27,3,Stop,Stop,North,North,-1,-1,20,19,-1,367,-1,North,366
11,8,True,True,False,True,True,North,False,False,True,True,1,1,3,1,27,4,27,4,Stop,Stop,West,North,-1,-1,20,20,-1,366,-1,North,365
11,9,True,True,False,True,True,North,False,False,True,True,1,1,3,1,27,5,27,4,Stop,Stop,North,West,-1,-1,20,20,-1,365,-1,North,364
11,10,True,True,False,True,True,North,False,False,True,True,1,1,3,1,27,4,26,4,Stop,Stop,South,West,-1,-1,22,20,-1,364,-1,North,363
11,11,True,True,False,True,True,North,False,False,True,True,1,1,3,1,27,3,25,4,Stop,Stop,South,West,-1,-1,24,21,-1,363,-1,North,362
11,12,False,True,True,True,True,North,False,False,True,True,1,1,3,1,26,3,25,4,Stop,Stop,West,West,-1,-1,24,21,-1,362,-1,East,361
12,12,False,False,True,True,True,East,False,False,True,True,1,1,3,1,27,3,24,4,Stop,Stop,East,West,-1,-1,24,20,-1,361,-1,East,360
13,12,False,True,True,True,True,East,False,False,True,True,1,1,3,1,27,2,24,4,Stop,Stop,South,North,-1,-1,24,18,-1,360,-1,East,359
14,12,True,True,True,True,True,East,False,False,True,True,1,1,3,1,28,2,24,5,Stop,Stop,East,South,-1,-1,24,18,-1,359,-1,East,358
15,12,False,True,True,True,True,East,False,False,True,True,1,1,3,1,28,3,24,4,Stop,Stop,North,North,-1,-1,22,16,-1,358,-1,East,357
16,12,False,True,True,True,True,East,False,False,True,True,1,1,3,1,28,4,24,5,Stop,Stop,North,North,-1,-1,20,15,-1,357,-1,East,356
17,12,True,True,True,True,True,East,False,False,True,True,1,1,3,1,27,4,24,5,Stop,Stop,West,North,-1,-1,18,14,-1,356,-1,South,355
17,11,True,True,True,True,True,South,False,False,True,True,1,1,3,1,27,4,24,5,Stop,Stop,West,East,-1,-1,17,14,-1,355,-1,East,354
18,11,True,True,True,True,True,East,False,False,True,True,1,1,3,1,26,4,25,5,Stop,Stop,West,North,-1,-1,15,12,-1,354,-1,East,353
19,11,True,True,True,True,True,East,False,False,True,True,1,1,3,1,26,4,25,6,Stop,Stop,West,South,-1,-1,14,12,-1,353,-1,East,352
20,11,True,True,False,True,True,East,False,False,True,True,1,1,3,1,26,5,25,5,Stop,Stop,North,South,-1,-1,12,12,-1,352,-1,South,351
20,10,True,False,True,True,True,South,False,False,True,True,1,1,3,1,26,5,25,4,Stop,Stop,North,West,-1,-1,11,10,-1,351,-1,East,350
21,10,False,False,True,True,True,East,False,False,True,True,1,1,3,1,26,6,24,4,Stop,Stop,North,West,-1,-1,9,9,-1,350,-1,East,349
22,10,True,False,True,True,True,East,False,False,True,True,1,1,3,1,27,6,24,4,Stop,Stop,East,North,-1,-1,9,7,-1,349,-1,East,348
