@attribute ghost_2_direction {North,South,East,West,Stop}
@attribute ghost_3_direction {North,South,East,West,Stop}
@attribute ghost_4_direction {North,South,East,West,Stop}
'\'B3of5\'','\'B2of5\'',True,True,False,True,South,False,False,True,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B3of5\'','\'B2of5\'','\'B5of5\'','\'B3of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'',South
'\'B4of5\'','\'B3of5\'',True,False,True,True,South,False,False,True,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B2of5\'','\'B5of5\'','\'B2of5\'',Stop,Stop,North,West,'\'B1of5\'','\'B1of5\'','\'B3of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'',East
'\'B1of5\'','\'B3of5\'',False,True,True,True,East,True,True,True,True,'\'B2of5\'','\'B2of5\'','\'B2of5\'','\'B3of5\'','\'B1of5\'','\'B3of5\'','\'B2of5\'','\'B2of5\'',Stop,East,East,West,'\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B3of5\'','\'B4of5\'','\'B1of5\'',South
'\'B4of5\'','\'B2of5\'',True,True,True,True,East,False,False,False,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B3of5\'',Stop,Stop,Stop,West,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'',East
'\'B4of5\'','\'B5of5\'',False,False,True,True,West,True,True,True,True,'\'B4of5\'','\'B5of5\'','\'B4of5\'','\'B5of5\'','\'B3of5\'','\'B5of5\'','\'B3of5\'','\'B5of5\'',West,North,South,East,'\'B4of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',West
'\'B3of5\'','\'B2of5\'',True,True,True,True,East,False,False,True,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B3of5\'','\'B4of5\'','\'B3of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B2of5\'','\'B1of5\'','\'B4of5\'',North
'\'B2of5\'','\'B3of5\'',True,True,True,True,East,True,True,True,True,'\'B3of5\'','\'B1of5\'','\'B3of5\'','\'B2of5\'','\'B4of5\'','\'B3of5\'','\'B4of5\'','\'B3of5\'',Stop,Stop,Stop,Stop,'\'B3of5\'','\'B2of5\'','\'B3of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'',South
'\'B1of5\'','\'B2of5\'',True,True,True,True,South,True,True,True,True,'\'B2of5\'','\'B2of5\'','\'B2of5\'','\'B3of5\'','\'B1of5\'','\'B3of5\'','\'B2of5\'','\'B2of5\'',Stop,Stop,Stop,Stop,'\'B2of5\'','\'B1of5\'','\'B2of5\'','\'B2of5\'','\'B3of5\'','\'B1of5\'',East
'\'B3of5\'','\'B2of5\'',True,True,True,True,West,True,False,False,False,'\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',South,Stop,Stop,Stop,'\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B2of5\'',South
'\'B3of5\'','\'B3of5\'',True,True,True,True,North,True,True,True,True,'\'B2of5\'','\'B2of5\'','\'B1of5\'','\'B3of5\'','\'B2of5\'','\'B2of5\'','\'B2of5\'','\'B4of5\'',North,South,East,South,'\'B4of5\'','\'B2of5\'','\'B2of5\'','\'B1of5\'','\'B3of5\'','\'B1of5\'',South
'\'B3of5\'','\'B2of5\'',True,True,True,True,East,False,False,True,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B3of5\'','\'B4of5\'','\'B3of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'',North
'\'B5of5\'','\'B2of5\'',True,True,True,True,East,False,False,False,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B3of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'',South
'\'B4of5\'','\'B2of5\'',False,True,True,True,North,True,True,True,True,'\'B4of5\'','\'B4of5\'','\'B4of5\'','\'B4of5\'','\'B2of5\'','\'B4of5\'','\'B3of5\'','\'B5of5\'',Stop,Stop,Stop,Stop,'\'B5of5\'','\'B3of5\'','\'B3of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'',East
'\'B3of5\'','\'B4of5\'',False,False,True,True,West,True,True,True,True,'\'B4of5\'','\'B4of5\'','\'B4of5\'','\'B4of5\'','\'B2of5\'','\'B4of5\'','\'B3of5\'','\'B5of5\'',Stop,Stop,Stop,Stop,'\'B3of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',West
'\'B3of5\'','\'B4of5\'',True,False,True,True,South,False,False,False,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B3of5\'','\'B5of5\'',Stop,Stop,Stop,East,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'',East
'\'B3of5\'','\'B3of5\'',False,True,True,True,East,False,False,True,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B1of5\'','\'B5of5\'','\'B2of5\'',Stop,Stop,North,North,'\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'',East
'\'B1of5\'','\'B5of5\'',False,True,True,False,Stop,True,True,True,True,'\'B2of5\'','\'B3of5\'','\'B3of5\'','\'B1of5\'','\'B3of5\'','\'B2of5\'','\'B5of5\'','\'B3of5\'',Stop,Stop,Stop,Stop,'\'B4of5\'','\'B5of5\'','\'B5of5\'','\'B5of5\'','\'B1of5\'','\'B1of5\'',South
'\'B1of5\'','\'B2of5\'',True,True,False,True,North,True,True,True,True,'\'B2of5\'','\'B3of5\'','\'B3of5\'','\'B1of5\'','\'B3of5\'','\'B2of5\'','\'B5of5\'','\'B3of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B3of5\'','\'B3of5\'','\'B4of5\'','\'B1of5\'','\'B1of5\'',West
'\'B4of5\'','\'B3of5\'',True,True,True,True,North,True,True,True,True,'\'B4of5\'','\'B4of5\'','\'B4of5\'','\'B4of5\'','\'B2of5\'','\'B4of5\'','\'B3of5\'','\'B5of5\'',Stop,Stop,Stop,Stop,'\'B5of5\'','\'B3of5\'','\'B3of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'',North
'\'B3of5\'','\'B2of5\'',True,False,True,True,East,True,False,False,False,'\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',East,Stop,Stop,Stop,'\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B2of5\'',East
'\'B1of5\'','\'B3of5\'',True,True,False,True,East,True,True,True,True,'\'B2of5\'','\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B1of5\'','\'B3of5\'','\'B2of5\'','\'B2of5\'',West,East,West,North,'\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B1of5\'',South
'\'B4of5\'','\'B4of5\'',False,False,True,True,West,True,True,True,True,'\'B5of5\'','\'B4of5\'','\'B4of5\'','\'B4of5\'','\'B3of5\'','\'B4of5\'','\'B3of5\'','\'B5of5\'',South,South,West,East,'\'B2of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',West
'\'B2of5\'','\'B1of5\'',True,False,True,True,East,False,False,True,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B1of5\'','\'B5of5\'','\'B1of5\'',Stop,Stop,South,East,'\'B1of5\'','\'B1of5\'','\'B3of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'',East
'\'B4of5\'','\'B3of5\'',True,True,False,False,South,True,True,True,True,'\'B5of5\'','\'B4of5\'','\'B5of5\'','\'B4of5\'','\'B2of5\'','\'B5of5\'','\'B1of5\'','\'B5of5\'',South,West,North,East,'\'B3of5\'','\'B2of5\'','\'B3of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'',North
'\'B1of5\'','\'B3of5\'',False,True,True,True,East,True,True,True,True,'\'B3of5\'','\'B1of5\'','\'B3of5\'','\'B2of5\'','\'B4of5\'','\'B3of5\'','\'B4of5\'','\'B3of5\'',Stop,Stop,Stop,Stop,'\'B4of5\'','\'B3of5\'','\'B3of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'',South
'\'B3of5\'','\'B4of5\'',False,False,True,True,West,True,True,True,True,'\'B5of5\'','\'B4of5\'','\'B4of5\'','\'B4of5\'','\'B2of5\'','\'B5of5\'','\'B2of5\'','\'B5of5\'',East,North,West,East,'\'B2of5\'','\'B2of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',West
'\'B1of5\'','\'B3of5\'',False,False,True,True,East,True,True,True,True,'\'B2of5\'','\'B3of5\'','\'B3of5\'','\'B1of5\'','\'B3of5\'','\'B2of5\'','\'B5of5\'','\'B3of5\'',Stop,Stop,Stop,Stop,'\'B2of5\'','\'B4of5\'','\'B4of5\'','\'B4of5\'','\'B1of5\'','\'B1of5\'',East
'\'B1of5\'','\'B2of5\'',True,True,True,True,South,True,False,True,True,'\'B2of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B3of5\'','\'B2of5\'','\'B2of5\'',Stop,Stop,Stop,Stop,'\'B2of5\'','\'B1of5\'','\'B2of5\'','\'B2of5\'','\'B3of5\'','\'B1of5\'',South
'\'B4of5\'','\'B4of5\'',True,True,True,False,West,True,True,True,True,'\'B4of5\'','\'B4of5\'','\'B4of5\'','\'B4of5\'','\'B2of5\'','\'B4of5\'','\'B3of5\'','\'B5of5\'',Stop,Stop,Stop,Stop,'\'B3of5\'','\'B2of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',South
'\'B3of5\'','\'B3of5\'',True,True,True,True,North,True,True,True,True,'\'B2of5\'','\'B2of5\'','\'B1of5\'','\'B3of5\'','\'B2of5\'','\'B2of5\'','\'B2of5\'','\'B4of5\'',Stop,Stop,Stop,Stop,'\'B4of5\'','\'B2of5\'','\'B2of5\'','\'B1of5\'','\'B3of5\'','\'B1of5\'',North
'\'B4of5\'','\'B2of5\'',False,False,True,True,West,False,False,True,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B3of5\'','\'B2of5\'','\'B5of5\'','\'B3of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'',West
'\'B3of5\'','\'B2of5\'',True,True,True,True,South,True,True,True,False,'\'B2of5\'','\'B2of5\'','\'B1of5\'','\'B3of5\'','\'B2of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'',Stop,Stop,Stop,Stop,'\'B3of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B3of5\'','\'B1of5\'',South
'\'B2of5\'','\'B3of5\'',True,True,True,False,South,True,True,True,True,'\'B2of5\'','\'B3of5\'','\'B3of5\'','\'B1of5\'','\'B3of5\'','\'B2of5\'','\'B5of5\'','\'B3of5\'',Stop,Stop,Stop,Stop,'\'B2of5\'','\'B3of5\'','\'B3of5\'','\'B4of5\'','\'B1of5\'','\'B1of5\'',South
'\'B3of5\'','\'B3of5\'',False,False,True,True,East,False,False,True,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B3of5\'','\'B2of5\'','\'B5of5\'','\'B3of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B3of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'',East
'\'B4of5\'','\'B4of5\'',True,True,False,False,North,True,True,True,True,'\'B4of5\'','\'B4of5\'','\'B4of5\'','\'B4of5\'','\'B2of5\'','\'B4of5\'','\'B3of5\'','\'B5of5\'',Stop,Stop,Stop,Stop,'\'B4of5\'','\'B2of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',North
