@relation 'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R31,33-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.Randomize-S5-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Center-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.RemoveUseless -M 99.0-Fweka.filters.unsupervised.instance.RemoveDuplicates-Fweka.filters.unsupervised.instance.Randomize -S 5-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-Fweka.filters.unsupervised.attribute.Center'

@attribute pacman_position_x numeric
@attribute pacman_position_y numeric
@attribute is_North_Valid {True,False}
@attribute is_South_Valid {True,False}
@attribute is_East_Valid {True,False}
@attribute is_West_Valid {True,False}
@attribute pacman_direction {North,South,East,West,Stop}
@attribute alive_ghost_1 {True,False}
@attribute alive_ghost_2 {True,False}
@attribute alive_ghost_3 {True,False}
@attribute alive_ghost_4 {True,False}
@attribute ghost_1_position_x numeric
@attribute ghost_1_position_y numeric
@attribute ghost_2_position_x numeric
@attribute ghost_2_position_y numeric
@attribute ghost_3_position_x numeric
@attribute ghost_3_position_y numeric
@attribute ghost_4_position_x numeric
@attribute ghost_4_position_y numeric
@attribute ghost_1_direction {North,South,East,West,Stop}
@attribute ghost_2_direction {North,South,East,West,Stop}
@attribute ghost_3_direction {North,South,East,West,Stop}
@attribute ghost_4_direction {North,South,East,West,Stop}
@attribute ghost_1_distance numeric
@attribute ghost_2_distance numeric
@attribute ghost_3_distance numeric
@attribute ghost_4_distance numeric
@attribute pac_dots_distance numeric
@attribute score numeric
@attribute next_action {North,South,East,West,Stop}

@data
0.240635,0.127492,True,True,True,True,North,False,False,True,True,-0.273175,-0.257976,-0.346349,-0.257262,0.273968,0.278207,0.121619,0.141633,Stop,Stop,Stop,Stop,-0.228658,-0.25326,-0.207094,-0.145291,0.004706,2562,North
0.240635,-0.205841,False,True,True,True,East,False,False,False,True,-0.273175,-0.257976,-0.346349,-0.257262,-0.50381,-0.368852,-0.078381,-0.144082,Stop,Stop,Stop,East,-0.228658,-0.25326,-0.345025,-0.256402,-0.112941,528,East
-0.217698,-0.205841,True,False,True,True,East,False,True,True,True,-0.273175,-0.257976,0.320317,-0.132262,0.162857,-0.074734,0.271619,-0.001224,Stop,Stop,Stop,Stop,-0.228658,0.092894,0.068768,0.21582,-0.112941,172,East
0.073968,-0.272508,True,True,True,False,South,False,False,False,True,-0.273175,-0.257976,-0.346349,-0.257262,-0.50381,-0.368852,0.021619,-0.21551,Stop,Stop,Stop,North,-0.228658,-0.25326,-0.345025,-0.145291,-0.112941,534,East
-0.259365,-0.072508,True,True,True,True,South,True,False,True,False,0.060159,0.054524,-0.346349,-0.257262,-0.059365,-0.074734,-0.628381,-0.429796,Stop,Stop,Stop,Stop,-0.092294,-0.25326,0.034286,-0.367513,0.769412,381,South
0.073968,0.060825,True,True,True,True,South,True,True,True,False,-0.023175,0.054524,-0.346349,0.555238,-0.114921,0.042913,-0.628381,-0.429796,West,North,East,Stop,0.407706,0.323663,-0.207094,-0.367513,0.298824,190,West
0.115635,0.594159,False,True,True,True,East,True,True,True,True,-0.023175,0.117024,0.153651,-0.069762,0.162857,-0.133557,0.121619,0.070204,West,East,North,East,0.771342,0.515971,0.241182,0.188042,-0.112941,-14,South
-0.217698,0.060825,True,True,True,False,South,True,False,True,False,0.060159,0.054524,-0.346349,-0.257262,-0.059365,-0.074734,-0.628381,-0.429796,Stop,Stop,Stop,Stop,0.044069,-0.25326,0.068768,-0.367513,0.710588,384,South
0.073968,0.127492,True,True,True,True,North,True,True,True,True,0.060159,0.054524,-0.179683,0.430238,-0.059365,-0.074734,-0.328381,0.355918,Stop,Stop,Stop,Stop,0.407706,0.131355,-0.138128,-0.311958,0.357647,-4,North
0.073968,0.194159,False,True,True,True,East,False,False,True,True,-0.273175,-0.257976,-0.346349,-0.257262,0.162857,-0.074734,0.271619,-0.001224,Stop,Stop,Stop,Stop,-0.228658,-0.25326,0.034286,0.132487,-0.112941,353,South
