@relation 'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R9-12,21-24,31,33-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.Resample-S1-Z500.0-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.MultiFilter-Fweka.filters.unsupervised.instance.RemoveDuplicates-Fweka.filters.unsupervised.instance.Resample -S 1 -Z 500.0-Fweka.filters.unsupervised.instance.Randomize -S 42'

@attribute pacman_position_x numeric
@attribute pacman_position_y numeric
@attribute is_North_Valid {True,False}
@attribute is_South_Valid {True,False}
@attribute is_East_Valid {True,False}
@attribute is_West_Valid {True,False}
@attribute pacman_direction {North,South,East,West,Stop}
@attribute ghost_1_position_x numeric
@attribute ghost_1_position_y numeric
@attribute ghost_2_position_x numeric
@attribute ghost_2_position_y numeric
@attribute ghost_3_position_x numeric
@attribute ghost_3_position_y numeric
@attribute ghost_4_position_x numeric
@attribute ghost_4_position_y numeric
@attribute ghost_1_distance numeric
@attribute ghost_2_distance numeric
@attribute ghost_3_distance numeric
@attribute ghost_4_distance numeric
@attribute pac_dots_distance numeric
@attribute score numeric
@attribute next_action {North,South,East,West,Stop}

@data
19,13,True,True,False,True,South,13,17,14,16,16,15,15,15,10,8,5,6,-1,-23,West
14,17,False,True,True,True,West,12,19,12,19,5,1,16,15,4,4,-1,5,-1,114,West
11,5,True,True,False,True,North,1,1,3,1,17,6,25,7,-1,-1,7,16,-1,361,North
1,13,True,True,False,False,South,5,9,11,3,17,6,25,7,8,20,23,30,-1,-5,South
17,12,True,True,True,True,East,1,1,3,1,27,4,24,5,-1,-1,18,14,-1,356,South
15,6,False,False,True,True,East,1,1,3,1,17,6,25,7,-1,-1,2,11,-1,307,East
9,9,False,True,True,True,East,5,4,3,1,10,11,13,4,9,-1,3,8,4,190,East
21,12,True,True,False,False,North,13,16,11,15,16,15,17,15,12,13,8,8,-1,-16,North
18,8,False,True,True,True,North,12,15,13,15,16,15,16,15,13,12,9,8,-1,-9,East
14,6,True,True,True,True,East,1,1,3,1,18,10,23,11,-1,-1,8,13,2,1184,North
13,7,True,False,True,True,South,9,3,3,1,5,1,7,1,8,-1,-1,-1,4,567,East
7,11,True,True,True,True,East,9,3,11,7,19,12,22,9,10,8,13,17,1,196,South
2,6,False,True,True,True,East,5,7,11,4,21,6,27,3,4,11,19,28,-1,-13,East
12,18,True,True,False,False,North,1,1,3,1,5,1,15,15,-1,-1,-1,5,-1,511,South
10,10,True,True,True,False,North,6,4,3,1,11,10,13,5,10,-1,1,9,4,188,East
11,9,True,False,True,True,East,1,1,3,1,5,1,14,6,-1,-1,-1,6,4,562,East
13,9,True,True,True,False,South,1,1,3,1,17,6,25,7,-1,-1,7,14,-1,349,East
14,7,True,True,False,True,South,1,1,3,1,17,6,25,7,-1,-1,4,11,-1,309,South
5,3,True,False,True,True,South,1,1,9,4,23,6,28,3,-1,5,21,23,-1,177,East
20,10,True,True,True,True,South,1,1,3,1,5,1,22,9,-1,-1,-1,3,1,2458,East
7,12,False,False,True,True,East,5,9,11,3,17,6,25,7,5,13,16,23,-1,-12,East
13,17,False,True,True,True,East,10,15,13,15,14,15,17,15,5,2,3,6,-1,-44,South
18,8,False,True,True,True,North,10,15,13,15,14,15,17,15,15,12,11,8,-1,-9,East
6,7,True,True,False,True,North,5,9,11,3,17,6,25,7,3,9,12,19,-1,-22,North
17,8,False,False,True,True,West,1,1,3,1,17,6,25,7,-1,-1,2,9,-1,313,West
13,10,True,True,True,False,North,1,1,3,1,17,6,25,7,-1,-1,8,15,-1,330,Stop
12,13,False,False,True,True,East,15,15,17,15,13,15,16,15,5,7,3,5,-1,-32,East
1,16,True,True,True,False,South,5,9,11,3,17,6,25,7,11,23,26,33,-1,-2,South
11,10,True,True,False,True,North,1,1,3,1,27,4,26,4,-1,-1,22,20,-1,364,North
19,8,False,False,True,True,East,13,15,13,15,16,15,17,15,13,13,10,9,-1,-10,East
14,7,True,True,True,True,East,9,3,3,1,5,1,7,1,9,-1,-1,-1,3,566,North
14,6,True,True,True,True,South,1,1,3,1,17,6,25,7,-1,-1,3,12,-1,308,East
5,9,False,True,True,True,North,1,1,5,12,5,1,7,1,-1,3,-1,-1,13,580,East
5,10,True,True,True,False,South,6,5,6,9,8,11,14,6,6,2,4,13,9,-5,South
13,7,True,True,True,True,North,1,1,3,1,19,12,22,9,-1,-1,11,11,1,1572,East
19,13,True,True,False,True,South,10,15,13,15,14,15,17,15,11,8,7,4,-1,-23,West
14,13,False,False,True,True,East,13,16,13,16,14,17,16,15,4,4,4,3,-1,-72,East
13,10,True,True,True,True,South,5,6,5,12,13,6,7,1,12,10,4,-1,6,195,South
14,9,True,True,False,True,North,1,1,3,1,17,6,25,7,-1,-1,6,13,-1,333,West
21,11,True,True,True,True,North,10,15,13,15,14,15,17,15,15,12,11,8,-1,-15,North
8,11,True,True,True,False,South,5,9,11,3,17,6,25,7,5,11,14,21,-1,-14,South
9,13,False,False,True,True,West,10,15,13,15,14,15,17,15,3,6,7,10,-1,-33,West
17,17,False,False,True,True,West,11,20,12,20,15,17,17,15,9,8,2,3,-1,-83,West
15,13,False,False,True,True,West,11,15,15,15,12,20,15,15,6,2,10,3,-1,-45,West
15,8,False,False,True,True,West,1,1,3,1,17,6,25,7,-1,-1,4,11,-1,311,West
21,9,True,True,True,True,South,1,1,3,1,5,1,22,9,-1,-1,-1,1,1,2556,East
18,6,False,True,True,True,East,1,1,3,1,5,1,25,7,-1,-1,-1,8,-1,504,East
13,10,True,True,True,True,South,5,6,5,12,13,6,7,1,12,10,4,-1,6,195,South
17,8,False,False,True,True,East,1,1,3,1,17,6,25,7,-1,-1,2,9,-1,344,East
5,5,True,True,False,True,South,1,1,8,4,22,6,28,3,-1,4,18,24,-1,179,South
23,8,True,True,True,True,South,1,1,3,1,28,6,24,5,-1,-1,7,4,-1,346,South
21,6,False,False,True,True,East,1,1,3,1,5,1,25,7,-1,-1,-1,5,-1,501,East
15,13,False,False,True,True,East,14,16,16,15,13,17,14,15,4,3,6,4,-1,-35,East
11,3,True,False,False,True,East,1,1,3,1,17,6,25,7,-1,-1,9,18,-1,363,North
15,4,True,True,False,False,North,10,15,13,15,13,15,16,15,16,13,13,11,-1,-2,North
21,8,True,True,False,True,East,13,16,13,15,16,15,16,15,16,15,12,13,-1,-12,North
5,7,True,True,True,True,South,6,6,10,7,17,11,22,9,2,5,16,20,1,394,South
21,12,True,True,False,False,North,10,15,13,15,14,15,17,15,14,11,10,7,-1,-16,North
11,10,True,True,False,True,East,6,4,3,1,5,1,14,5,11,-1,-1,7,3,387,South
10,6,True,True,True,True,West,5,6,5,12,5,1,7,1,5,11,-1,-1,11,388,West
14,9,True,True,False,True,South,1,1,3,1,17,6,25,7,-1,-1,6,13,-1,323,South
6,6,True,False,True,True,South,1,1,11,3,17,6,25,7,-1,8,11,20,-1,171,East
9,9,True,True,True,True,East,9,3,11,7,19,12,22,9,6,4,13,13,1,492,South
1,8,True,True,False,False,South,5,6,11,4,20,6,26,4,6,14,21,29,-1,-10,South
14,13,False,False,True,True,West,11,15,16,15,12,19,14,15,5,4,8,3,-1,-46,West
14,7,True,True,False,True,South,1,1,3,1,17,6,25,7,-1,-1,4,11,-1,309,South
13,10,True,True,True,False,North,1,1,3,1,17,6,25,7,-1,-1,8,15,-1,330,Stop
9,3,True,False,True,True,West,1,1,3,1,19,12,22,9,-1,-1,19,19,1,1482,Stop
8,9,True,True,True,True,South,9,3,11,7,19,12,22,9,7,5,14,14,1,393,East
18,11,True,True,True,True,East,1,1,3,1,19,12,22,9,-1,-1,2,6,1,1963,North
14,8,True,True,True,True,North,9,4,3,1,5,1,7,1,9,-1,-1,-1,2,569,West
14,8,True,True,True,True,North,9,4,3,1,5,1,7,1,9,-1,-1,-1,2,569,West
5,9,True,True,True,True,South,6,5,6,9,8,11,14,6,5,1,5,12,8,-6,East
9,8,True,True,True,True,South,9,3,11,7,19,12,22,9,5,3,14,14,1,491,East
10,4,True,True,True,True,East,1,1,3,1,19,12,22,9,-1,-1,17,17,1,1478,East
5,9,False,True,True,True,North,1,1,5,12,5,1,7,1,-1,3,-1,-1,13,580,East
21,10,False,False,True,True,East,1,1,3,1,26,6,24,4,-1,-1,9,9,-1,350,East
15,8,False,False,True,True,West,1,1,3,1,17,6,25,7,-1,-1,4,11,-1,336,West
15,8,False,False,True,True,West,1,1,3,1,17,6,25,7,-1,-1,4,11,-1,336,West
1,14,True,True,True,False,South,5,8,11,4,20,6,24,6,10,20,27,31,-1,-4,South
15,8,False,False,True,True,West,1,1,3,1,17,6,25,7,-1,-1,4,11,-1,311,West
15,8,True,True,True,True,East,1,1,3,1,19,12,22,9,-1,-1,8,8,1,1669,North
18,13,False,False,True,True,West,10,15,13,15,14,15,17,15,10,7,6,3,-1,-24,West
13,9,False,True,True,True,East,6,3,3,1,5,1,7,1,13,-1,-1,-1,2,578,Stop
13,9,False,True,True,True,East,6,3,3,1,5,1,7,1,13,-1,-1,-1,2,578,Stop
14,7,True,True,True,True,East,10,3,3,1,5,1,7,1,8,-1,-1,-1,3,562,South
18,13,False,False,True,True,West,11,15,16,15,12,19,13,15,9,4,12,6,-1,-42,West
14,15,True,False,True,True,West,10,15,3,1,5,1,7,1,4,-1,-1,-1,-1,547,West
9,3,True,False,True,True,East,1,1,3,1,25,4,28,2,-1,-1,17,19,-1,373,East
1,7,True,True,False,False,South,5,6,11,4,21,6,26,4,5,13,21,29,-1,-11,South
21,6,False,False,True,True,East,1,1,3,1,5,1,25,7,-1,-1,-1,5,-1,501,East
11,5,True,True,False,True,North,1,1,3,1,17,6,25,7,-1,-1,7,16,-1,361,North
7,7,True,False,True,True,East,6,5,3,1,8,11,14,6,3,-1,5,8,4,190,East
15,13,False,False,True,True,West,14,15,14,15,15,15,15,15,3,3,2,3,-1,-27,West
18,13,False,False,True,True,West,11,15,16,15,12,19,13,15,9,4,12,6,-1,-42,West
8,16,True,True,False,False,North,10,15,13,15,14,15,17,15,3,6,7,10,-1,-37,North
14,8,True,True,True,True,West,1,1,3,1,17,6,25,7,-1,-1,5,12,-1,335,North
15,15,False,False,True,True,West,10,15,3,1,5,1,7,1,5,-1,-1,-1,-1,548,West
11,5,True,True,False,True,North,1,1,3,1,17,6,25,7,-1,-1,7,16,-1,361,North
5,10,True,True,True,True,South,8,5,11,5,17,12,22,10,8,11,14,18,1,197,South
20,8,False,False,True,True,East,1,1,3,1,17,6,25,7,-1,-1,5,6,-1,316,West
15,6,False,False,True,True,East,1,1,3,1,17,6,25,7,-1,-1,2,11,-1,307,East
9,3,True,False,True,True,West,1,1,3,1,19,12,22,9,-1,-1,19,19,1,1480,North
16,6,False,False,True,True,East,1,1,3,1,17,6,25,7,-1,-1,1,10,-1,306,East
15,13,False,False,True,True,West,14,15,14,15,15,15,15,15,3,3,2,3,-1,-27,West
19,16,True,True,False,False,North,11,20,12,17,15,20,17,15,12,8,8,4,-1,-80,North
12,8,True,True,True,True,West,6,10,4,12,5,1,7,1,8,12,-1,-1,7,392,West
12,10,True,True,True,True,South,4,8,3,11,13,8,13,9,10,10,3,3,7,-4,South
19,14,True,True,False,False,South,10,15,13,15,14,15,17,15,10,7,6,3,-1,-22,South
11,8,True,True,False,True,North,1,1,3,1,17,6,25,7,-1,-1,8,15,-1,358,North
12,6,True,True,True,True,West,5,6,5,12,5,1,7,1,7,13,-1,-1,9,390,West
13,7,True,False,True,True,East,9,3,3,1,5,1,7,1,8,-1,-1,-1,4,571,East
6,3,False,False,True,True,East,1,1,10,4,24,6,28,3,-1,5,21,22,-1,176,East
11,8,True,True,False,True,North,1,1,3,1,27,4,27,4,-1,-1,20,20,-1,366,North
13,7,True,False,True,True,East,1,1,3,1,5,1,14,6,-1,-1,-1,2,4,558,East
7,7,True,False,True,True,East,6,5,3,1,8,11,14,6,3,-1,5,8,4,190,East
9,11,False,False,True,True,East,1,1,3,1,5,1,14,6,-1,-1,-1,10,6,566,East
6,8,True,True,False,True,North,5,9,11,3,17,6,25,7,2,10,13,20,-1,-23,North
11,10,True,True,False,True,North,1,1,3,1,17,6,25,7,-1,-1,10,17,-1,356,North
5,8,True,True,True,True,East,1,1,3,1,8,11,14,6,-1,-1,6,11,7,373,North
13,13,False,False,True,True,East,13,15,14,15,12,19,16,15,2,3,7,5,-1,-55,East
14,7,True,True,False,True,South,1,1,3,1,17,6,25,7,-1,-1,4,11,-1,309,South
3,11,False,False,True,True,East,6,5,6,9,8,11,14,5,9,5,5,16,12,-2,East
7,5,False,True,True,True,West,6,5,3,1,8,11,14,6,1,-1,7,8,4,186,West
11,4,True,True,False,True,North,1,1,3,1,26,3,27,2,-1,-1,16,17,-1,370,North
21,12,True,True,False,False,North,10,15,13,15,14,15,17,15,14,11,10,7,-1,-16,North
17,7,True,True,True,True,East,1,1,3,1,19,8,23,8,-1,-1,3,8,1,1480,East
16,6,False,False,True,True,East,1,1,3,1,17,6,25,7,-1,-1,1,10,-1,306,East
11,8,True,True,True,True,West,6,10,4,13,5,1,7,1,7,12,-1,-1,8,391,West
12,8,True,True,True,False,South,1,1,3,1,5,1,14,6,-1,-1,-1,4,4,560,South
1,9,True,True,False,False,South,5,7,11,3,21,6,26,4,6,16,23,30,-1,-9,South
6,6,True,False,True,True,West,5,9,11,3,17,6,25,7,4,8,11,20,-1,-21,North
6,11,True,True,True,True,North,4,11,5,11,5,1,7,1,2,1,-1,-1,14,383,West
6,3,False,False,True,True,East,1,1,10,4,24,6,28,3,-1,5,21,22,-1,176,East
1,6,True,True,True,False,South,5,7,11,4,21,6,27,4,5,12,20,29,-1,-12,East
10,8,True,True,True,True,West,6,10,4,14,5,1,7,1,6,12,-1,-1,9,390,West
6,8,True,True,False,True,East,1,1,11,3,17,6,25,7,-1,10,13,20,-1,173,South
